symbol,winner_metric,metric_value,sma_bars,time_window_mode,threshold_mode,threshold_value,threshold_label,trades_per_day,win_rate,profit_factor,realized_pnl,sharpe_ratio,max_drawdown_pct,expectancy,max_loss_trade,avg_winning_trade,avg_losing_trade,avg_return_per_trade_pct,avg_move_captured_pct,pnl_stability,atr_percentile_threshold,regime_filter_enabled,regime,start_date,end_date,config_key
AAPL,net_pnl,72.40348855402578,20,full_day,static_pct,0.002,0.0020,1.7580645161290323,71.55963302752293,1.200208997938663,72.40348855402578,0.9888528783973286,9.91738213661941,0.6642521885690439,-63.642445171671966,5.5646541248625745,-11.665791393072743,0.06642521885690439,0.06642521885690439,10.746706894973517,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
AAPL,sharpe,0.9888528783973286,20,full_day,static_pct,0.002,0.0020,1.7580645161290323,71.55963302752293,1.200208997938663,72.40348855402578,0.9888528783973286,9.91738213661941,0.6642521885690439,-63.642445171671966,5.5646541248625745,-11.665791393072743,0.06642521885690439,0.06642521885690439,10.746706894973517,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
AAPL,max_drawdown,9.91738213661941,20,full_day,static_pct,0.002,0.0020,1.7580645161290323,71.55963302752293,1.200208997938663,72.40348855402578,0.9888528783973286,9.91738213661941,0.6642521885690439,-63.642445171671966,5.5646541248625745,-11.665791393072743,0.06642521885690439,0.06642521885690439,10.746706894973517,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
AMD,net_pnl,471.3141958626512,20,full_day,static_pct,0.002,0.0020,2.225806451612903,75.36231884057972,1.6911704550960436,471.3141958626512,2.470242876665251,16.811956010090128,3.4153202598742842,-79.42368302566399,11.088668465785917,-20.05609778173777,0.34153202598742843,0.34153202598742843,25.096514733366295,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
AMD,sharpe,2.470242876665251,20,full_day,static_pct,0.002,0.0020,2.225806451612903,75.36231884057972,1.6911704550960436,471.3141958626512,2.470242876665251,16.811956010090128,3.4153202598742842,-79.42368302566399,11.088668465785917,-20.05609778173777,0.34153202598742843,0.34153202598742843,25.096514733366295,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
AMD,max_drawdown,16.811956010090128,20,full_day,static_pct,0.002,0.0020,2.225806451612903,75.36231884057972,1.6911704550960436,471.3141958626512,2.470242876665251,16.811956010090128,3.4153202598742842,-79.42368302566399,11.088668465785917,-20.05609778173777,0.34153202598742843,0.34153202598742843,25.096514733366295,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
AMZN,net_pnl,-114.73512912706019,20,full_day,static_pct,0.002,0.0020,1.6129032258064515,60.0,0.8089094051261637,-114.73512912706019,-0.7992157705338137,24.739801289710503,-1.1473512912706019,-70.16364043936335,8.094792691613105,-15.010567265596162,-0.11473512912706019,-0.11473512912706019,16.10116613925895,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
AMZN,sharpe,-0.7992157705338137,20,full_day,static_pct,0.002,0.0020,1.6129032258064515,60.0,0.8089094051261637,-114.73512912706019,-0.7992157705338137,24.739801289710503,-1.1473512912706019,-70.16364043936335,8.094792691613105,-15.010567265596162,-0.11473512912706019,-0.11473512912706019,16.10116613925895,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
AMZN,max_drawdown,24.739801289710503,20,full_day,static_pct,0.002,0.0020,1.6129032258064515,60.0,0.8089094051261637,-114.73512912706019,-0.7992157705338137,24.739801289710503,-1.1473512912706019,-70.16364043936335,8.094792691613105,-15.010567265596162,-0.11473512912706019,-0.11473512912706019,16.10116613925895,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
GOOGL,net_pnl,286.5402801828003,20,full_day,static_pct,0.002,0.0020,1.7580645161290323,71.55963302752293,1.966488812563673,286.5402801828003,3.4625106303640836,7.366363867969114,2.6288099099339477,-37.64944417255117,7.4745616323843524,-9.56372668203804,0.2628809909933948,0.2628809909933948,11.206292909517192,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
GOOGL,sharpe,3.4625106303640836,20,full_day,static_pct,0.002,0.0020,1.7580645161290323,71.55963302752293,1.966488812563673,286.5402801828003,3.4625106303640836,7.366363867969114,2.6288099099339477,-37.64944417255117,7.4745616323843524,-9.56372668203804,0.2628809909933948,0.2628809909933948,11.206292909517192,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
GOOGL,max_drawdown,7.366363867969114,20,full_day,static_pct,0.002,0.0020,1.7580645161290323,71.55963302752293,1.966488812563673,286.5402801828003,3.4625106303640836,7.366363867969114,2.6288099099339477,-37.64944417255117,7.4745616323843524,-9.56372668203804,0.2628809909933948,0.2628809909933948,11.206292909517192,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.002, 0.0, False)"
