regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades,symbol_strategy_mode,symbol_contribution_pct
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,portfolio,COMBINED,367.0493877140092,3.670493877139943,5.941411963631783,66.29292221443588,7.754943999531643,-14.488830843748286,0.25721751066153414,-84.9585294776956,0.025721751066153414,0.025721751066153414,1.0526679100876613,0.6644999835027029,23.016129032258064,79.8272123587361,2854,,
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AAPL,67.72090374434003,7.4492994118774165,10.484468496278746,70.73170731707317,5.390837335643429,-11.146720679351063,0.5505764532060166,-23.855529131985804,0.05505764532060165,0.05505764532060165,1.1687614024997774,0.9123535761431085,1.9838709677419355,11.101795347951496,246,mean_reversion,18.450079474619795
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AMD,463.5928231664518,50.995210548309636,17.45222219533272,68.68131868131869,13.223538782213,-20.865781133511813,2.5472133141013837,-43.990498812351575,0.2547213314101383,0.2547213314101383,1.389786865487167,2.432133570605633,2.935483870967742,24.886849022196774,364,mean_reversion,126.3025736274121
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AMZN,-110.55218557453247,-12.160740413198571,23.483542345653586,58.82352941176471,8.623842820079794,-14.57594250979833,-0.9290099628111973,-84.9585294776956,-0.09290099628111972,-0.09290099628111972,0.8452129561416132,-0.7695272606031548,1.9193548387096775,15.938725154481904,238,mean_reversion,-30.11915815009355
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,GOOGL,229.48026904419487,25.242829594861462,7.746321344742174,71.7741935483871,7.879597874723505,-13.4801126230342,1.8506473310015716,-27.261970497751804,0.18506473310015717,0.18506473310015717,1.4863890457669353,2.7206858171462693,2.0,11.682184986414162,248,mean_reversion,62.52027022123712
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,JPM,4.681155770138275,0.5149271347151978,16.236990058164867,67.76859504132231,6.458062280856102,-13.45846028871954,0.038687237769737814,-36.56313301823093,0.0038687237769737814,0.0038687237769737814,1.0089185265295433,0.14937990960815653,1.9516129032258065,11.10573721406958,242,mean_reversion,1.2753476580611143
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,KO,54.5429465133509,5.999724116468599,4.900361409596244,67.36842105263158,3.706122978338618,-5.891900777429698,0.5741362790879042,-23.728377596296127,0.05741362790879042,0.05741362790879042,1.2986217782667746,1.3289165729972248,1.532258064516129,5.4227772465294315,190,mean_reversion,14.8598385773221
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,META,-219.45351489477684,-24.139886638425452,33.84973920623316,61.832061068702295,6.856474468814968,-15.496558937375784,-1.675217670952495,-39.36910849608773,-0.16752176709524952,-0.16752176709524952,0.7167712964128029,-1.9385677755148134,2.1129032258064515,13.987631412800114,262,mean_reversion,-59.78855223313071
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,MSFT,-122.02458875210948,-13.422704762732044,19.66229436340565,63.716814159292035,4.252220413472056,-10.443523378587745,-1.079863617275305,-31.77133018450877,-0.10798636172753052,-0.10798636172753052,0.715018641327422,-1.6438376636088379,1.8225806451612903,8.965900838514854,226,mean_reversion,-33.24473295326305
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,NVDA,33.43701037117603,3.678071140829363,16.82013995674533,68.58974358974359,7.9490974410646125,-16.675845220872194,0.2143398100716412,-37.30150271768093,0.02143398100716412,0.02143398100716412,1.040920742410381,0.4000286689313047,2.5161290322580645,16.620974115990375,312,mean_reversion,9.109676106374238
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,TSLA,-55.40980331177968,-6.0950783642957775,20.57854935686678,65.0,9.952097447883201,-19.471927462350582,-0.346311270698623,-38.758973817567494,-0.0346311270698623,-0.0346311270698623,0.9491852681077524,-0.2839484402141573,2.5806451612903225,17.99183829765513,320,mean_reversion,-15.096007558239785
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,XOM,21.03437163755575,2.3137808801311324,7.580648216951144,63.10679611650486,6.083381217872532,-9.852247566425232,0.20421720036461893,-24.573288171614422,0.020421720036461893,0.020421720036461893,1.0561837379738108,0.3808204235581907,1.6612903225806452,8.954379423440406,206,mean_reversion,5.730665229700622
