regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades,symbol_strategy_mode,symbol_contribution_pct
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,portfolio,COMBINED,130.77797162163063,1.307779716216264,6.9270024468018025,71.11344537815127,9.687186868441877,-23.37253650295825,0.13737181893028427,-88.75792481471558,0.013737181893028427,0.013737181893028427,1.0203467972071454,0.2798241019140977,15.35483870967742,77.34380606856733,1904,,
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,AAPL,-68.40723729931813,-7.524796102924994,16.503137479483463,74.19354838709677,6.473052317464815,-22.885477743918727,-1.1033425370857761,-31.627502504867948,-0.11033425370857762,-0.11033425370857762,0.8131805514812342,-0.7341164109506059,1.0,10.810965701517889,124,mean_reversion,-52.30792040209591
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,AMD,371.36698214147293,40.850368035562,14.201536626440486,70.12987012987013,14.503097184907777,-25.977554648447104,2.4114739100095646,-49.55078125,0.24114739100095645,0.24114739100095645,1.3107757975374972,2.163765784658014,2.4838709677419355,23.609193609178945,308,mean_reversion,283.9675348505321
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,AMZN,45.22607653115983,4.974868418427582,24.12903848928944,72.91666666666666,9.720105180630794,-24.43004946588445,0.4711049638662483,-88.75792481471558,0.04711049638662483,0.04711049638662483,1.071201840356352,0.49081528546745534,1.5483870967741935,15.938688909523867,192,mean_reversion,34.58233521315715
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,GOOGL,141.87774518368178,15.606551970205008,10.646384680762067,76.62337662337663,9.360534262253259,-22.79965423829225,1.8425681192685945,-36.76317433867939,0.18425681192685944,0.18425681192685944,1.3457112494895176,1.6174440765055806,1.2419354838709677,12.36421386286078,154,mean_reversion,108.48749481614934
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,JPM,-17.708465853746247,-1.947931243912087,17.022809146014694,71.42857142857143,8.960911010369495,-23.28770081861105,-0.2529780836249464,-36.56313301823093,-0.025297808362494636,-0.025297808362494636,0.9619789304412697,-0.10265116320690512,1.1290322580645162,11.631800657296745,140,mean_reversion,-13.54086290998665
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,KO,-39.84761552780765,-4.383237708058841,7.898958360859258,77.5,4.982833124521834,-21.590604709776056,-0.9961903881951912,-25.337513596519102,-0.09961903881951911,-0.09961903881951911,0.7949333566179214,-0.9267938305488176,0.6451612903225806,5.1845295688091255,80,mean_reversion,-30.46966934392861
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,META,-247.72543963537964,-27.24979835989176,35.71635697100622,66.0,8.02293112296506,-22.859967463266873,-2.4772543963537963,-32.51627323939397,-0.24772543963537966,-0.24772543963537966,0.6812750344494228,-2.3729989843256782,1.6129032258064515,13.768377879856764,200,mean_reversion,-189.42443942478607
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,MSFT,-87.19639141962978,-9.591603056159276,17.7938753984852,70.1492537313433,7.291874879789736,-21.49572553848737,-1.301438677904922,-27.354798713626906,-0.13014386779049222,-0.13014386779049222,0.7971773707672541,-1.0740484910462937,1.0806451612903225,9.588345852576053,134,mean_reversion,-66.67513675155328
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,NVDA,-23.128245119215876,-2.5441069631137463,25.8616474471559,69.56521739130434,10.60530611843031,-25.06670845352699,-0.2513939686871291,-37.53907583996647,-0.02513939686871291,-0.02513939686871291,0.9670475780340643,-0.008627133012019029,1.4838709677419355,17.07506851166754,184,mean_reversion,-17.685122985490985
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,TSLA,-98.53924380987462,-10.839316819086207,18.041556119932075,64.0625,11.009442827969094,-21.767685993550877,-0.7698378422646455,-30.90186347984593,-0.07698378422646455,-0.07698378422646455,0.9015900231764475,-0.6423194388914353,2.064516129032258,16.38391579665476,256,mean_reversion,-75.3485029535175
Custom,,,mean_reversion,full_day,False,static_pct,20,0.005,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,XOM,154.85980643028802,17.034578707331793,5.38351080839243,81.81818181818183,7.50357164679931,-20.86108854140623,2.3463607034892124,-32.167042889390586,0.23463607034892123,0.23463607034892123,1.6186150757941586,2.042429611630289,1.064516129032258,10.197801699523678,132,mean_reversion,118.41428989152043
