regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades,symbol_strategy_mode,symbol_contribution_pct
Custom,,,sma,full_day,False,static_pct,15,0.0025,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,portfolio,COMBINED,84.63199986271707,4.231599993135865,2.4355364229012615,48.148148148148145,11.498870291965414,-4.632379566630951,3.1345185134339655,-12.525820770887321,0.31345185134339654,0.31345185134339654,2.304975717206494,4.586993075118255,2.7,14.787209476324284,54,,
Custom,,,sma,full_day,False,static_pct,15,0.0025,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AAPL,24.37081739143059,2.4370817391430593,2.747603992536286,38.46153846153847,12.141890988455907,-4.542329693856118,1.8746782608792762,-10.099790761307077,0.18746782608792764,0.18746782608792764,1.6706585341106506,2.331688525426561,1.3,8.434393402941113,26,sma,28.796220615089908
Custom,,,sma,full_day,False,static_pct,15,0.0025,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,MSFT,60.261182471286475,6.02611824712867,2.506989024590917,57.14285714285714,11.096982356658856,-4.752446063664062,4.304370176520463,-12.525820770887321,0.4304370176520462,0.4304370176520462,3.113339168364527,4.806251678510966,1.4,10.024880139939775,28,sma,71.20377938491009
Custom,,,sma,full_day,False,static_pct,15,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,portfolio,COMBINED,73.55333262494196,3.6776666312471207,2.4203686868037106,35.8974358974359,12.217798063037037,-3.8998336103030624,1.8859828878190246,-16.223332171758102,0.18859828878190243,0.18859828878190243,1.7544253419491507,3.7041528009135885,3.9,16.052707841666724,78,,
Custom,,,sma,full_day,False,static_pct,15,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AAPL,8.448741736575016,0.8448741736575015,3.689799332556566,27.27272727272727,12.131046384709558,-4.021096035730146,0.3840337152988644,-16.223332171758102,0.03840337152988643,0.03840337152988643,1.1313190119917285,0.7590366208243278,2.2,9.796329984913026,44,sma,11.486551914182124
Custom,,,sma,full_day,False,static_pct,15,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,MSFT,65.10459088836694,6.510459088836705,2.523288790649524,47.05882352941176,12.282861821782646,-3.6842559650993585,3.8296818169627613,-11.026256134867936,0.38296818169627617,0.38296818169627617,2.963447572743683,5.1423524803851075,1.7,10.109699444293032,34,sma,88.51344808581787
Custom,,,sma,full_day,False,static_pct,10,0.0025,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,portfolio,COMBINED,60.290645044950224,3.0145322522475224,2.0078140257264256,41.17647058823529,9.680940084101858,-3.7621258066237884,1.7732542660279478,-12.525820770887321,0.1773254266027948,0.1773254266027948,1.8012842757517502,3.5213418458778944,3.4,13.805876411996982,68,,
Custom,,,sma,full_day,False,static_pct,10,0.0025,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AAPL,8.895447567089263,0.8895447567089263,2.711756558276184,41.17647058823529,6.1424869177524375,-3.41019608571778,0.5232616215934861,-8.648564416221916,0.05232616215934861,0.05232616215934861,1.260848565404911,0.9445547875121652,1.7,7.993319077054058,34,sma,14.754274996489395
Custom,,,sma,full_day,False,static_pct,10,0.0025,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,MSFT,51.39519747786096,5.139519747786108,3.1048618464601323,41.17647058823529,13.219393250451276,-4.114055527529797,3.0232469104624093,-12.525820770887321,0.30232469104624093,0.30232469104624093,2.2492587213260147,4.281066306449426,1.7,9.57403994906263,34,sma,85.24572500351061
Custom,,,sma,full_day,False,static_pct,10,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,portfolio,COMBINED,37.26290664648786,1.8631453323243932,2.9384458687916926,34.69387755102041,9.294880537959083,-3.7734394530880166,0.760467482581385,-16.223332171758102,0.0760467482581385,0.0760467482581385,1.3085953404525408,1.7810171723727457,4.9,17.432304171471774,98,,
Custom,,,sma,full_day,False,static_pct,10,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AAPL,-14.462699801780104,-1.4462699801780106,4.348911019787463,36.0,6.203158285837073,-4.3931952733946105,-0.5785079920712042,-16.223332171758102,-0.05785079920712042,-0.05785079920712042,0.7942457183532384,-1.0334663813794192,2.5,10.299622052646995,50,sma,-38.81259167189325
Custom,,,sma,full_day,False,static_pct,10,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,MSFT,51.72560644826797,5.172560644826786,2.785101127268089,33.33333333333333,12.773068071596342,-3.153683632781423,2.1552336020111653,-10.263865027972201,0.2155233602011165,0.2155233602011165,2.0251029524370847,3.8902538029664,2.4,10.770668500279614,48,sma,138.81259167189327
Custom,,,sma,full_day,False,static_pct,20,0.0025,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,portfolio,COMBINED,28.402023568408367,1.4201011784204638,2.625627678832097,44.0,10.616436673060765,-6.31276998823286,1.1360809427363348,-43.018130405855004,0.11360809427363348,0.11360809427363348,1.321367002592142,1.4458865363579416,2.5,16.50998771112004,50,,
