strategy_mode,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,regime_filter_enabled,coverage_symbols,coverage_time_windows,avg_net_pnl,avg_sharpe,avg_win_rate,avg_profit_factor,avg_trades_per_day,avg_return_per_trade_pct,avg_pnl_stability,worst_max_drawdown_pct,net_pnl_std,robustness_score
mean_reversion,static_pct,0.002,1.0,0.0,15,False,15,2,4.9253556176154,1.0043412956403512,63.94728619142964,inf,0.764888888888889,-0.038954867112549973,8.199662406161464,22.479806807739347,36.23836302065143,-43.277911877697655
mean_reversion,static_pct,0.0015,1.0,0.0,25,False,15,2,4.515534136751011,0.9875157872099745,66.06750954201934,inf,0.7402222222222222,-0.020231376077858382,9.022743190522984,22.332187654276932,35.85641516940782,-44.250240583044025
mean_reversion,static_pct,0.001,1.0,0.0,25,False,15,2,4.673302603649444,0.9841149184459361,66.8805149481104,inf,0.7755555555555556,-0.0004420157210221889,9.023724249951918,22.391714356909358,35.67109692828179,-44.54487426458552
mean_reversion,static_pct,0.0025,1.0,0.0,30,False,15,2,6.993407158188808,0.9981850647085597,64.88914163178869,inf,0.5986666666666668,-0.10859740208302276,8.93793329347861,23.200517906675564,39.4411776201602,-48.63185352449326
mean_reversion,static_pct,0.0025,1.0,0.0,15,False,15,2,4.51548402504548,0.94068095368037,62.37558775647011,inf,0.7113333333333334,-0.08091100902270942,8.111413917376685,22.40362530868702,35.74293270999596,-49.17747986034859
mean_reversion,static_pct,0.002,1.0,0.0,25,False,15,2,4.294199601884516,0.9133726825571726,65.45953675953676,inf,0.686,-0.04780392554373475,8.943985885265029,22.225799911872375,35.16229320997349,-50.65982491173359
mean_reversion,static_pct,0.0015,1.0,0.0,15,False,15,2,5.104958950681973,0.9237348549247861,63.82641080701968,inf,0.8442222222222222,-0.11051747329401729,8.405895864405442,22.745768437568596,37.193166258456905,-53.44356400313931
mean_reversion,static_pct,0.0025,1.0,0.0,20,False,15,2,3.1640735270871936,0.9180311171303256,63.45859666840059,inf,0.6793333333333333,-0.12200664077872397,8.670869337403031,22.33479283275808,37.215769800373515,-53.922548724044155
mean_reversion,static_pct,0.003,1.0,0.0,30,False,15,2,6.631492132820827,0.9488067011814375,63.43562764396097,inf,0.5511111111111111,-0.1081066902133252,8.901276429219235,23.200517906675564,39.491622709299975,-53.982049991713225
mean_reversion,static_pct,0.002,1.0,0.0,20,False,15,2,2.911065517306978,0.9215975270841599,64.08053985249548,inf,0.7222222222222222,-0.08841478422892905,8.743688331430654,22.534504644647445,37.36394798001876,-54.965652977533004
