regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades,symbol_strategy_mode,symbol_contribution_pct
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,portfolio,COMBINED,-128.71817514596023,-1.2871817514603572,4.043326464469664,66.17336152219873,6.005652243040836,-12.553045795110886,-0.2721314485115438,-70.97170127538095,-0.02721314485115438,-0.02721314485115438,0.9359128766203035,-0.5746673512402194,23.65,80.2067289887504,946,,
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,ABBV,-48.10422757125548,-7.215634135688322,11.690544856550398,72.72727272727273,4.728122716302063,-17.95324141805611,-1.4577038657956205,-62.43980866629147,-0.14577038657956207,-0.14577038657956207,0.7022869547552342,-1.5105756588648132,1.65,12.00120818807134,66,mean_reversion,37.37174452380761
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,AMD,158.47699469988856,23.771549204983287,12.654712720824573,79.54545454545455,9.228887767471093,-18.281564129066638,3.601749879542922,-70.97170127538095,0.3601749879542922,0.3601749879542922,1.9631864561663896,3.2638687117363325,2.2,20.440032151238768,88,mean_reversion,-123.11936097616616
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,BAC,18.717258637966324,2.807588795694949,9.142496863633944,63.33333333333333,5.5728473837418555,-7.92425833210263,0.6239086212655441,-26.585286773678718,0.06239086212655442,0.06239086212655442,1.2147291135366547,0.9640037528723653,1.5,8.517228389536731,60,mean_reversion,-14.541270971828066
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,C,95.74597409115097,14.361896113672646,6.316133609927498,67.85714285714286,9.204652038373979,-8.793601626439404,3.419499074683963,-23.446835175481056,0.3419499074683963,0.3419499074683963,2.209793440459848,3.821104148947803,1.4,9.983365803780911,56,mean_reversion,-74.38419165170703
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,COP,2.604664730511331,0.39069970957669964,10.770111562300782,73.91304347826086,6.331182425091383,-17.504239416007028,0.11324629263092743,-58.103105853806596,0.011324629263092745,0.011324629263092745,1.0248003228304554,0.227694572516525,1.15,11.437686555093908,46,mean_reversion,-2.023540752933893
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,GOOGL,-43.686138342206505,-6.552920751330976,13.793848207003496,58.620689655172406,5.077692233527881,-10.833908859348375,-1.5064185635243623,-38.80188898007657,-0.1506418563524362,-0.1506418563524362,0.663970633703838,-1.581419833913009,1.45,10.334624246768948,58,mean_reversion,33.939370483359106
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,HD,-73.31395455436291,-10.997093183154437,13.922232127569675,54.54545454545454,6.185656157242635,-12.310384358982022,-2.221634986495846,-35.51793684703409,-0.22216349864958457,-0.22216349864958457,0.6029695882952083,-2.094119501340038,1.65,12.817729226193933,66,mean_reversion,56.956956133994595
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,HON,48.81392576506573,7.32208886475986,7.256371747279969,65.71428571428571,4.872610307658286,-5.271342609256237,1.3946835932875923,-13.228883703487782,0.13946835932875923,0.13946835932875923,1.7716871105941572,2.218297780588304,1.75,9.121377990716935,70,mean_reversion,-37.92310270846606
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,JPM,-39.89825078062552,-5.984737617093828,13.1068356852265,63.63636363636363,5.0098028081590495,-13.754436261856526,-1.8135568536647961,-30.89905297733253,-0.1813556853664796,-0.1813556853664796,0.6374056157133245,-1.716786310635153,1.1,8.635706597800343,44,mean_reversion,30.996594486662676
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,LLY,-60.91209714328113,-9.13681457149217,18.572828403415826,61.111111111111114,6.203897448076398,-14.09984578578299,-1.6920026984244758,-56.123784315533726,-0.16920026984244757,-0.16920026984244757,0.6914247043715928,-1.7128902776166337,1.8,12.673309274171372,72,mean_reversion,47.322063938686
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,MSFT,-33.610196801171014,-5.0415295201756525,10.16046711272879,65.71428571428571,3.3262562730124046,-9.176174256704693,-0.9602913371763147,-27.73474878444074,-0.09602913371763147,-0.09602913371763147,0.6947693390429633,-1.3916790849138243,1.75,8.937925793355854,70,mean_reversion,26.11146154228699
Custom,,,mean_reversion,full_day,False,static_pct,20,0.002,1.0,0.0,none,target_1x_stop_low,0.5,sma,80.0,symbol,QCOM,-61.8471011546668,-9.27706517320002,11.91715196832067,58.82352941176471,5.385860561527631,-12.111736598944244,-1.8190323869019647,-34.79884407244401,-0.18190323869019648,-0.18190323869019648,0.6352587387954525,-2.225636664731212,1.7,10.463963996309591,68,mean_reversion,48.048460199606744
