regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,ml_probability_buy,ml_probability_sell,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds
Custom,,,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,5.457028261310533,3.875082061796641,1826,1206,293,280,10,68.78422782037241,5.467544257901395,-10.13303497484516,0.5977029859049343,-73.31987568488421,0.059770298590493424,0.059770298590493424,1.1889608358313561,1.8300707969739642,29.934426229508198,80.29745617149992,545.702826131205,10545.702826131053,10545.702826131053,10000.0,1000.0,0.16731100000470178,12.394827500000247,4.999965312890708e-07,0.00011159999849041924,10.467390500001784,0.0031339999986812472,23.032828499999596
Custom,,,mean_reversion,full_day,False,static_pct,0.0025,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,5.194115138857396,4.012468319604062,1480,942,202,211,10,67.29729729729729,6.241261815707115,-10.69725979477799,0.7019074511971208,-73.31987568488421,0.07019074511971209,0.07019074511971209,1.2006428385355359,1.8088957760531752,24.262295081967213,77.43718351076,519.4115138858695,10519.41151388574,10519.41151388574,10000.0,1000.0,0.07039060000533937,10.71932409999863,4.999965312890708e-07,0.00013970000145491213,11.662515799995163,0.007824100001016632,22.460241099994164
Custom,,,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,4.778024874170878,3.9466405714152537,1624,1057,245,239,10,67.98029556650246,5.829993500481671,-10.53982278787946,0.5884267086418999,-73.31987568488421,0.058842670864190004,0.058842670864190004,1.1743579481046815,1.6399800049687836,26.62295081967213,78.62731653783139,477.8024874172228,10477.802487417088,10477.802487417088,10000.0,1000.0,0.0498442999960389,9.73077899999771,1.0000003385357559e-06,0.0001201999984914437,10.885113999996975,0.006872600002679974,20.672773099999176
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,2.537111170633125,3.6772604856863214,848,485,61,101,10,66.27358490566037,6.5917183469966,-11.178753415682788,0.5983752760929377,-70.97170127538095,0.05983752760929378,0.05983752760929378,1.1587121166246466,1.1842131176370148,13.901639344262295,57.81590443407526,253.7111170634056,10253.711117063312,10253.711117063312,10000.0,1000.0,0.03304719999869121,4.913140199998452,2.00001522898674e-07,5.270000110613182e-05,5.854672400004347,0.004633799995644949,10.805563300003996
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,2.2258237558288054,3.6846308203654035,796,454,56,96,10,65.32663316582915,6.92543661336272,-11.435008289067769,0.5592521999571737,-70.97170127538095,0.055925219995717375,0.055925219995717375,1.1410506861316294,1.0502172545905442,13.049180327868852,57.44994336268777,222.58237558295514,10222.58237558288,10222.58237558288,10000.0,1000.0,0.033416500002203975,5.073954800005595,2.9999500839039683e-07,5.990000499878079e-05,6.306102499998815,0.002468900005624164,11.41602220000641
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,1.9320973178217355,3.6690974434560526,756,430,52,89,10,64.28571428571429,7.2302796761103725,-11.583320218611643,0.5111368565667946,-70.97170127538095,0.05111368565667947,0.05111368565667947,1.1235555239237411,0.9212872756285249,12.39344262295082,57.19757044864789,193.20973178224835,10193.209731782174,10193.209731782174,10000.0,1000.0,0.039220600003318395,6.681501999999455,3.00002284348011e-07,8.549999620299786e-05,6.881809599995904,0.004808199999388307,13.607458099999349
Custom,,,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.9445165379184073,4.151643774446366,1588,1062,268,249,10,68.89168765743074,5.682904679732852,-12.202822696444928,0.11895674281104862,-70.97170127538095,0.011895674281104862,0.011895674281104862,1.0313366316133623,0.36406222020812207,26.0327868852459,82.75527711113534,94.4516537919726,10094.45165379184,10094.45165379184,10000.0,1000.0,0.06419399999867892,12.561556199994811,4.00003045797348e-07,0.00020940000104019418,15.072623800006113,0.009665099998528603,27.708292100003746
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.8272382163886687,3.974726552524733,658,407,78,90,10,71.12462006079028,7.949827423639015,-18.710903110448477,0.2514401873523538,-91.76496914949382,0.025144018735235377,0.025144018735235377,1.046538484259328,0.36720872504447,10.78688524590164,67.83589528789102,82.72382163892439,10082.723821638867,10082.723821638867,10000.0,1000.0,0.04563780000171391,5.743420399994648,2.9999500839039683e-07,8.299999899463728e-05,6.141866899997694,0.003228499997931067,11.934269099998346
Custom,,,mean_reversion,full_day,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.7200850865471511,6.36581073984771,1040,722,202,162,10,70.96153846153847,7.6051997678544865,-18.10801460717547,0.13847790125924941,-91.76496914949382,0.013847790125924943,0.013847790125924943,1.0263351643515553,0.28868340656936403,17.049180327868854,84.31182639136999,72.0085086548097,10072.008508654715,10072.008508654715,10000.0,1000.0,0.02877019999868935,5.341696499999671,1.9999424694105983e-07,5.339999916031957e-05,6.6030552000011085,0.0061744999984512106,11.979768400000466
Custom,,,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.4963665468738327,4.0078360000189335,1430,937,222,211,10,67.6923076923077,6.162335457754696,-12.696682713704607,0.06942189466784444,-70.97170127538095,0.006942189466784445,0.006942189466784445,1.0169238924737076,0.22448243198342296,23.442622950819672,80.84960649142565,49.63665468750878,10049.636654687383,10049.636654687383,10000.0,1000.0,0.07296469999710098,13.617514899997332,2.00001522898674e-07,8.969999908003956e-05,5.541926000005333,0.003069300000788644,19.23558259999845
