regime,start_date,end_date,strategy_mode,entry_threshold_pct,sma_bars,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,realized_pnl,final_equity,final_cash,starting_capital,position_size
Early2026,2026-01-01,2026-02-28,sma,0.0025,50,1.2652917987068757,1.0132812395591762,120,60,0,1,3,28.333333333333332,24.08180807225208,-6.578175752502291,126.52917987068705,10126.529179870688,10126.529179870688,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.005,50,1.2107677059986963,0.7575984609660967,92,46,0,0,3,34.78260869565217,23.90284535980046,-8.71229183856463,121.07677059986852,10121.07677059987,10121.07677059987,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.001,50,0.6146812742394104,1.3348798206268928,156,78,0,2,3,23.076923076923077,24.809885692857073,-6.418496917458238,61.46812742393327,10061.468127423941,10061.468127423941,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.0005,50,0.48465208520798114,1.256393566905485,172,86,0,5,3,20.930232558139537,25.042217363917146,-5.916098588672399,48.46520852078578,10048.465208520798,10048.465208520798,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.0,50,0.45785186790062654,1.301716346092157,194,97,0,6,3,19.587628865979383,23.80841951233909,-5.21249723005631,45.78518679005048,10045.785186790063,10045.785186790063,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.005,50,0.24107478588743106,2.0569792449826707,128,64,0,4,3,29.6875,23.834868589788822,-9.527889435938752,24.10747858874374,10024.107478588743,10024.107478588743,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.0025,10,0.08918135374055056,0.9591275047460932,300,150,0,8,3,32.666666666666664,10.304333878916884,-4.910833907850087,8.918135374068534,10008.918135374055,10008.918135374055,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.005,20,0.033970429038163275,0.9503947703015679,160,80,0,2,3,33.75,13.535422732194798,-6.8313088842535565,3.3970429038209202,10003.397042903816,10003.397042903816,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.005,10,-0.06488658724241758,0.6005579259685282,184,92,0,6,3,38.04347826086957,9.737184434134248,-6.09280901612171,-6.48865872423875,9993.511341275758,9993.511341275758,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.001,100,-0.06635272550403898,1.4167418268259644,98,49,0,2,3,20.408163265306122,22.559719278102,-5.954678598241759,-6.635272550408569,9993.364727449596,9993.364727449596,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.005,20,-0.07009067870319995,1.2347656267108307,78,40,0,4,3,27.500000000000004,15.306729264996166,-6.047692751216449,-7.0090678703191855,9992.99093212968,9992.99093212968,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.005,100,-0.08576636611189314,0.8776629445349682,54,27,0,0,3,33.33333333333333,19.568421164973547,-10.260690394219656,-8.576636611191866,9991.42336338881,9991.42336338881,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.0,20,-0.09358137882940355,1.050701790879928,360,180,0,9,3,28.888888888888886,10.542581899085764,-4.356034348714041,-9.358137882937445,9990.64186211706,9990.64186211706,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.0005,100,-0.09681861548684538,1.461818122348377,116,58,0,3,3,17.24137931034483,22.746953494518497,-4.940654093622337,-9.681861548687198,9990.318138451315,9990.318138451315,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.0,100,-0.11080060208760187,1.4403448495591509,132,66,0,3,3,16.666666666666664,20.964561300715,-4.394367900302245,-11.080060208758393,9988.91993979124,9988.91993979124,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.005,10,-0.13702373525693476,0.9968003053518826,104,52,0,6,3,38.46153846153847,7.815917047741607,-5.3131473275164645,-13.702373525694675,9986.297626474307,9986.297626474307,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.0025,100,-0.1522772487252587,1.3127329209339769,74,37,0,1,3,24.324324324324326,22.12613784229994,-7.655820194758177,-15.227724872529443,9984.772275127474,9984.772275127474,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.001,100,-0.17072493984109316,1.9557235532442152,180,90,0,4,3,17.77777777777778,20.835724256649986,-4.735730839060986,-17.072493984113326,9982.92750601589,9982.92750601589,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0,100,-0.2168297091621025,2.1230775509500166,222,111,0,3,3,15.315315315315313,21.229391220338407,-4.0700278900209295,-21.682970916214316,9978.31702908379,9978.31702908379,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.0005,20,-0.27116267382269144,1.1864767419910038,306,153,0,4,3,31.372549019607842,11.032947532570015,-5.301883323291685,-27.1162673822662,9972.88373261773,9972.88373261773,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0005,100,-0.2754000946139422,2.1011887779651337,204,102,0,2,3,15.686274509803921,21.788239755576225,-4.373858669193226,-27.54000946139783,9972.459990538606,9972.459990538606,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.001,100,-0.33725400850835285,1.0025787639938608,57,30,0,1,3,26.666666666666668,9.510156789356987,-4.991211598440504,-33.72540085083517,9966.274599149165,9966.274599149165,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.005,100,-0.347643202986892,2.1928772636866936,90,45,0,1,3,24.444444444444443,26.20230060796338,-9.499694911361406,-34.76432029869056,9965.23567970131,9965.23567970131,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.0005,100,-0.39095276991465655,1.0562775254001644,65,34,0,1,3,23.52941176470588,9.510156789356987,-4.429866588704605,-39.09527699146382,9960.904723008534,9960.904723008534,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0025,100,-0.40821083836030087,2.12749421917112,130,65,0,3,3,21.53846153846154,22.938560364944212,-7.097273116573507,-40.8210838360299,9959.17891616397,9959.17891616397,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0025,20,-0.4396397599068223,2.316685072425548,316,158,0,4,3,32.91139240506329,12.325598942692473,-6.461274726515951,-43.96397599068247,9956.036024009318,9956.036024009318,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.0,100,-0.4468369801827794,1.1369289282100181,77,40,0,2,3,20.0,9.819746696128288,-3.8513022371033707,-44.68369801828155,9955.316301981722,9955.316301981722,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0025,10,-0.4951058843582359,2.045560073131068,440,220,0,17,3,33.18181818181819,10.045155970895118,-5.325217512320852,-49.510588435821575,9950.489411564176,9950.489411564176,10000.0,1000.0
