regime,start_date,end_date,strategy_mode,sma_bars,entry_threshold_pct,scope,symbol,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,total_trades
Early2026,2026-01-01,2026-02-28,sma,50,0.0025,portfolio,COMBINED,1.2652917987068757,1.0132812395591762,28.333333333333332,24.08180807225208,-6.578175752502291,120
Early2026,2026-01-01,2026-02-28,sma,50,0.0025,symbol,AAPL,0.8884311397633109,0.7513191205189969,28.57142857142857,18.857330675949626,-5.568640848683615,42
Early2026,2026-01-01,2026-02-28,sma,50,0.0025,symbol,MSFT,1.3536706659935542,1.398845132208639,25.0,34.46701362423601,-7.728808246985508,32
Early2026,2026-01-01,2026-02-28,sma,50,0.0025,symbol,NVDA,1.5537735903637213,1.2729639425964023,30.434782608695656,22.625528382234812,-6.661640353969879,46
Early2026,2026-01-01,2026-02-28,sma,50,0.005,portfolio,COMBINED,1.2107677059986963,0.7575984609660967,34.78260869565217,23.90284535980046,-8.71229183856463,92
Early2026,2026-01-01,2026-02-28,sma,50,0.005,symbol,AAPL,0.1621096000872285,1.182850631577473,27.77777777777778,20.91807906631502,-7.629749384256394,36
Early2026,2026-01-01,2026-02-28,sma,50,0.005,symbol,MSFT,1.7612769003183575,0.8488254284972512,36.36363636363637,31.90053943503991,-9.841846818506836,22
Early2026,2026-01-01,2026-02-28,sma,50,0.005,symbol,NVDA,1.7089166175904347,1.027746116823642,41.17647058823529,21.464710383581806,-9.328908543205788,34
Early2026,2026-01-01,2026-02-28,sma,50,0.001,portfolio,COMBINED,0.6146812742394104,1.3348798206268928,23.076923076923077,24.809885692857073,-6.418496917458238,156
Early2026,2026-01-01,2026-02-28,sma,50,0.001,symbol,AAPL,1.2184930572516668,1.1270420123084113,24.0,21.51391618495458,-4.656161150947646,50
Early2026,2026-01-01,2026-02-28,sma,50,0.001,symbol,MSFT,-0.5858560928560382,2.299630652766628,16.0,34.883160671176604,-7.5743418625352925,50
Early2026,2026-01-01,2026-02-28,sma,50,0.001,symbol,NVDA,1.211406858322357,1.9245864782004036,28.57142857142857,22.24522533462418,-6.879078703312382,56
Early2026,2026-01-01,2026-02-28,sma,50,0.0005,portfolio,COMBINED,0.48465208520798114,1.256393566905485,20.930232558139537,25.042217363917146,-5.916098588672399,172
Early2026,2026-01-01,2026-02-28,sma,50,0.0005,symbol,AAPL,1.3174405167222811,0.9856389023463953,22.22222222222222,22.239621034833874,-4.26300201515528,54
Early2026,2026-01-01,2026-02-28,sma,50,0.0005,symbol,MSFT,-0.911081328501864,2.483218206879594,14.285714285714285,34.883160671176604,-7.07925084589315,56
Early2026,2026-01-01,2026-02-28,sma,50,0.0005,symbol,NVDA,1.0475970674031714,1.854688698200366,25.806451612903224,22.223692957099885,-6.211723539566369,62
Early2026,2026-01-01,2026-02-28,sma,50,0.0,portfolio,COMBINED,0.45785186790062654,1.301716346092157,19.587628865979383,23.80841951233909,-5.21249723005631,194
Early2026,2026-01-01,2026-02-28,sma,50,0.0,symbol,AAPL,1.3036807296553434,1.1829360717681219,20.588235294117645,19.29111205613388,-3.3919170396701106,68
Early2026,2026-01-01,2026-02-28,sma,50,0.0,symbol,MSFT,-0.8972715715473669,2.431905997432066,13.793103448275861,34.883160671176604,-6.777667802784748,58
Early2026,2026-01-01,2026-02-28,sma,50,0.0,symbol,NVDA,0.967146445593521,1.846377288275821,23.52941176470588,22.223692957099885,-5.598128030910788,68
Late2025,2025-10-04,2025-12-31,sma,50,0.005,portfolio,COMBINED,0.24107478588743106,2.0569792449826707,29.6875,23.834868589788822,-9.527889435938752,128
Late2025,2025-10-04,2025-12-31,sma,50,0.005,symbol,AAPL,-0.15728125769629966,2.560047734683778,22.727272727272727,25.189505726922093,-7.717072777910979,44
Late2025,2025-10-04,2025-12-31,sma,50,0.005,symbol,MSFT,-0.6667135025173002,1.384472204406938,33.33333333333333,12.925481508587325,-8.31472270573069,36
Late2025,2025-10-04,2025-12-31,sma,50,0.005,symbol,NVDA,1.5472191178759067,3.4428045428044634,33.33333333333333,31.170260689981667,-12.361757182749319,48
Early2026,2026-01-01,2026-02-28,sma,10,0.0025,portfolio,COMBINED,0.08918135374055056,0.9591275047460932,32.666666666666664,10.304333878916884,-4.910833907850087,300
Early2026,2026-01-01,2026-02-28,sma,10,0.0025,symbol,AAPL,0.8478532595920114,1.3156492198320207,36.95652173913043,8.344499755610897,-3.9170593284707045,92
Early2026,2026-01-01,2026-02-28,sma,10,0.0025,symbol,MSFT,-0.11112311447136562,1.8050934038696662,28.57142857142857,12.252066959373568,-5.006658321341192,98
Early2026,2026-01-01,2026-02-28,sma,10,0.0025,symbol,NVDA,-0.46918608389865313,1.5591777803928621,32.72727272727273,10.640384821684005,-5.5990935924396386,110
Early2026,2026-01-01,2026-02-28,sma,20,0.005,portfolio,COMBINED,0.033970429038163275,0.9503947703015679,33.75,13.535422732194798,-6.8313088842535565,160
