day,bars,start_time,end_time,classification,missing_intervals,odd_diff_count
2026-01-14,26,09:30,15:45,regular,,0
2026-01-15,26,09:30,15:45,regular,,0
2026-01-16,26,09:30,15:45,regular,,0
2026-01-20,26,09:30,15:45,regular,,0
2026-01-21,26,09:30,15:45,regular,,0
2026-01-22,26,09:30,15:45,regular,,0
2026-01-23,26,09:30,15:45,regular,,0
2026-01-26,26,09:30,15:45,regular,,0
2026-01-27,26,09:30,15:45,regular,,0
2026-01-28,26,09:30,15:45,regular,,0
2026-01-29,26,09:30,15:45,regular,,0
2026-01-30,26,09:30,15:45,regular,,0
2026-02-02,26,09:30,15:45,regular,,0
2026-02-03,26,09:30,15:45,regular,,0
2026-02-04,26,09:30,15:45,regular,,0
2026-02-05,26,09:30,15:45,regular,,0
2026-02-06,26,09:30,15:45,regular,,0
2026-02-09,26,09:30,15:45,regular,,0
2026-02-10,26,09:30,15:45,regular,,0
2026-02-11,26,09:30,15:45,regular,,0
2026-02-12,26,09:30,15:45,regular,,0
2026-02-13,26,09:30,15:45,regular,,0
2026-02-17,26,09:30,15:45,regular,,0
2026-02-18,26,09:30,15:45,regular,,0
2026-02-19,26,09:30,15:45,regular,,0
2026-02-20,26,09:30,15:45,regular,,0
2026-02-23,25,09:30,15:45,within_session_missing,13:30,1
2026-02-24,26,09:30,15:45,regular,,0
2026-02-25,26,09:30,15:45,regular,,0
2026-02-26,26,09:30,15:45,regular,,0
2026-02-27,25,09:30,15:45,within_session_missing,12:00,1
2026-03-02,26,09:30,15:45,regular,,0
2026-03-03,26,09:30,15:45,regular,,0
2026-03-04,26,09:30,15:45,regular,,0
2026-03-05,26,09:30,15:45,regular,,0
2026-03-06,26,09:30,15:45,regular,,0
2026-03-09,26,09:30,15:45,regular,,0
2026-03-10,26,09:30,15:45,regular,,0
2026-03-11,26,09:30,15:45,regular,,0
2026-03-12,26,09:30,15:45,regular,,0
2026-03-13,26,09:30,15:45,regular,,0
2026-03-16,26,09:30,15:45,regular,,0
2026-03-17,26,09:30,15:45,regular,,0
2026-03-18,26,09:30,15:45,regular,,0
2026-03-19,26,09:30,15:45,regular,,0
2026-03-20,26,09:30,15:45,regular,,0
2026-03-23,26,09:30,15:45,regular,,0
2026-03-24,26,09:30,15:45,regular,,0
2026-03-25,26,09:30,15:45,regular,,0
2026-03-26,26,09:30,15:45,regular,,0
2026-03-27,26,09:30,15:45,regular,,0
2026-03-30,26,09:30,15:45,regular,,0
2026-03-31,26,09:30,15:45,regular,,0
2026-04-01,26,09:30,15:45,regular,,0
2026-04-02,26,09:30,15:45,regular,,0
2026-04-06,26,09:30,15:45,regular,,0
2026-04-07,26,09:30,15:45,regular,,0
2026-04-08,26,09:30,15:45,regular,,0
2026-04-09,26,09:30,15:45,regular,,0
2026-04-10,26,09:30,15:45,regular,,0
2026-04-13,25,09:30,15:45,within_session_missing,10:30,1
