day,bars,start_time,end_time,classification,missing_intervals,odd_diff_count
2026-01-14,30,08:00,16:00,within_session_missing,"08:15, 08:45, 09:00",2
2026-01-15,29,09:15,16:15,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",0
2026-01-16,34,07:00,16:00,regular,,1
2026-01-20,33,08:00,17:15,partial_or_shifted_session,08:15,2
2026-01-21,29,08:00,17:30,partial_or_shifted_session,"08:15, 08:30, 08:45, 09:00, 09:15",2
2026-01-22,30,07:45,17:30,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",3
2026-01-23,28,09:15,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",0
2026-01-26,29,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00",1
2026-01-27,29,09:30,17:15,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",1
2026-01-28,29,08:00,16:30,partial_or_shifted_session,"08:15, 08:30, 08:45, 09:00, 09:15",2
2026-01-29,29,08:00,16:15,partial_or_shifted_session,"08:15, 08:30, 08:45, 09:00, 09:15",1
2026-01-30,28,09:15,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",0
2026-02-02,30,07:45,16:00,partial_or_shifted_session,"08:15, 08:30, 08:45, 09:00",1
2026-02-03,29,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00",1
2026-02-04,29,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00",1
2026-02-05,36,08:00,17:45,partial_or_shifted_session,"08:15, 09:00",3
2026-02-06,28,09:15,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",0
2026-02-09,29,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00",1
2026-02-10,27,09:30,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",0
2026-02-11,29,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00",1
2026-02-12,30,08:00,16:15,partial_or_shifted_session,"08:15, 08:30, 08:45, 09:00",1
2026-02-13,28,09:30,16:30,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",1
2026-02-17,30,08:00,16:00,within_session_missing,"08:15, 08:30, 09:00",2
2026-02-18,28,09:15,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",0
2026-02-19,27,09:30,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",0
2026-02-20,29,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00",1
2026-02-23,27,09:30,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",0
2026-02-24,28,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00, 09:15",1
2026-02-25,29,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00",1
2026-02-26,28,09:30,16:15,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",0
2026-02-27,28,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00, 09:15",1
2026-03-02,31,08:00,16:00,within_session_missing,"08:30, 08:45",1
2026-03-03,29,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00",1
2026-03-04,27,09:30,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",0
2026-03-05,28,09:15,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",0
2026-03-06,28,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00, 09:15",1
2026-03-09,29,08:00,16:00,within_session_missing,"08:15, 08:45, 09:00, 09:15",2
2026-03-10,29,08:00,16:00,within_session_missing,"08:15, 08:45, 09:00, 09:15",2
2026-03-11,29,08:45,19:45,partial_or_shifted_session,"08:00, 08:15, 08:30, 09:00, 09:15",2
2026-03-12,28,08:30,16:00,partial_or_shifted_session,"08:00, 08:15, 08:45, 09:00, 09:15",1
2026-03-13,28,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00, 09:15",1
2026-03-16,29,08:00,16:00,within_session_missing,"08:15, 08:30, 08:45, 09:00",1
2026-03-17,28,09:15,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",0
2026-03-18,31,08:30,16:30,partial_or_shifted_session,"08:00, 08:15, 08:45",2
2026-03-19,29,08:00,16:00,within_session_missing,"08:15, 08:45, 09:00, 09:15",2
2026-03-20,30,09:30,18:45,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",3
2026-03-23,35,07:00,16:00,partial_or_shifted_session,08:15,2
2026-03-24,28,09:15,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",0
2026-03-25,30,08:00,16:00,within_session_missing,"08:15, 08:45, 09:00",2
2026-03-26,27,09:30,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",0
2026-03-27,28,09:15,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",0
2026-03-30,30,04:00,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",2
2026-03-31,27,09:30,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",0
2026-04-01,32,04:00,16:00,partial_or_shifted_session,"08:00, 08:45, 09:00",3
2026-04-02,29,08:45,16:15,partial_or_shifted_session,"08:00, 08:15, 08:30, 09:00, 09:15",1
2026-04-06,28,09:15,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",0
2026-04-07,33,08:00,19:30,partial_or_shifted_session,"08:15, 08:30, 08:45, 09:00",3
2026-04-08,33,07:00,16:00,partial_or_shifted_session,"08:00, 08:45, 09:00",3
2026-04-09,28,09:15,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00",0
2026-04-10,27,09:30,16:00,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",0
2026-04-13,29,04:00,18:15,partial_or_shifted_session,"08:00, 08:15, 08:30, 08:45, 09:00, 09:15",2
