symbol,side,price,shares,timestamp,entry_branch,pnl,holding_bars,exit_reason,research_exit_fill
HON,BUY,226.26000000000002,4.419694157164324,2026-01-29 15:15:00+00:00,,,,,
HON,SELL,225.38,4.419694157164324,2026-01-29 16:00:00+00:00,,-3.9093308583046564,4.0,momentum_breakout_fixed_bars_exit,next_open
HON,BUY,227.54000000000002,4.394831677946734,2026-01-29 19:45:00+00:00,,,,,
HON,SELL,226.7,4.394831677946734,2026-01-29 20:30:00+00:00,,-3.711658609475421,4.0,momentum_breakout_fixed_bars_exit,next_open
JPM,BUY,314.68,3.1778314478200076,2026-02-03 15:00:00+00:00,,,,,
JPM,SELL,314.21,3.1778314478200076,2026-02-03 15:45:00+00:00,,-1.5135807804754222,4.0,momentum_breakout_fixed_bars_exit,next_open
HON,BUY,235.07000000000002,4.25405198451525,2026-02-04 14:45:00+00:00,,,,,
JPM,BUY,317.21000000000004,3.1524857350020485,2026-02-04 14:45:00+00:00,,,,,
JPM,SELL,317.99,3.1524857350020485,2026-02-04 15:30:00+00:00,,2.438938873301481,4.0,momentum_breakout_fixed_bars_exit,next_open
HON,SELL,235.70499999999998,4.25405198451525,2026-02-04 15:30:00+00:00,,2.6813230101670342,4.0,momentum_breakout_fixed_bars_exit,next_open
JPM,BUY,318.925,3.135533432625225,2026-02-04 15:45:00+00:00,,,,,
JPM,SELL,317.685,3.135533432625225,2026-02-04 16:30:00+00:00,,-3.908061456455357,4.0,momentum_breakout_fixed_bars_exit,next_open
JPM,BUY,325.2,3.075030750307503,2026-02-09 14:45:00+00:00,,,,,
JPM,SELL,325.755,3.075030750307503,2026-02-09 15:30:00+00:00,,1.6866420664207453,4.0,momentum_breakout_fixed_bars_exit,next_open
C,BUY,124.64999999999999,8.022462896109106,2026-02-09 15:45:00+00:00,,,,,
JPM,BUY,326.16,3.06597988717194,2026-02-09 15:45:00+00:00,,,,,
JPM,SELL,324.45,3.06597988717194,2026-02-09 16:30:00+00:00,,-5.262825607064087,4.0,momentum_breakout_fixed_bars_exit,next_open
C,SELL,124.38000000000001,8.022462896109106,2026-02-09 16:30:00+00:00,,-2.1860649819492437,4.0,momentum_breakout_fixed_bars_exit,next_open
C,BUY,125.00999999999999,7.999360051195905,2026-02-09 18:45:00+00:00,,,,,
C,SELL,124.86,7.999360051195905,2026-02-09 19:30:00+00:00,,-1.2199040076793608,4.0,momentum_breakout_fixed_bars_exit,next_open
HON,BUY,242.35500000000002,4.126178539745414,2026-02-10 16:15:00+00:00,,,,,
HON,SELL,243.26,4.126178539745414,2026-02-10 17:00:00+00:00,,3.7141915784693538,4.0,momentum_breakout_fixed_bars_exit,next_open
HON,BUY,245.205,4.078220264676495,2026-02-12 14:45:00+00:00,,,,,
HON,SELL,244.54,4.078220264676495,2026-02-12 15:30:00+00:00,,-2.7320164760099033,4.0,momentum_breakout_fixed_bars_exit,next_open
HON,BUY,245.3,4.076640847941296,2026-02-23 14:45:00+00:00,,,,,
HON,SELL,243.1,4.076640847941296,2026-02-23 15:30:00+00:00,,-8.988609865470949,4.0,momentum_breakout_fixed_bars_exit,next_open
C,BUY,116.11,8.612522607871846,2026-02-26 14:45:00+00:00,,,,,
C,SELL,114.89,8.612522607871846,2026-02-26 15:30:00+00:00,,-10.527277581603698,4.0,momentum_breakout_fixed_bars_exit,next_open
HON,BUY,246.32500000000002,4.059677255658175,2026-03-02 15:15:00+00:00,,,,,
HON,SELL,245.005,4.059677255658175,2026-03-02 16:00:00+00:00,,-5.378773977468768,4.0,momentum_breakout_fixed_bars_exit,next_open
AMD,BUY,206.465,4.8434359334511905,2026-03-10 13:45:00+00:00,,,,,
AMD,SELL,203.20999999999998,4.8434359334511905,2026-03-10 14:30:00+00:00,,-15.785383963383651,4.0,momentum_breakout_fixed_bars_exit,next_open
HON,BUY,242.98000000000002,4.11556506708371,2026-03-10 15:00:00+00:00,,,,,
HON,SELL,243.01999999999998,4.11556506708371,2026-03-10 15:45:00+00:00,,0.14462260268317095,4.0,momentum_breakout_fixed_bars_exit,next_open
C,BUY,110.86,9.020386072523904,2026-03-10 17:30:00+00:00,,,,,
C,SELL,109.78,9.020386072523904,2026-03-10 18:15:00+00:00,,-9.76201695832583,4.0,momentum_breakout_fixed_bars_exit,next_open
AMD,BUY,207.81,4.812087964968,2026-03-11 13:45:00+00:00,,,,,
AMD,SELL,206.98,4.812087964968,2026-03-11 14:30:00+00:00,,-4.014033010923413,4.0,momentum_breakout_fixed_bars_exit,next_open
AMD,BUY,206.56,4.841208365608056,2026-03-23 13:45:00+00:00,,,,,
C,BUY,112.72,8.87154009936125,2026-03-23 13:45:00+00:00,,,,,
AMD,SELL,207.285,4.841208365608056,2026-03-23 14:30:00+00:00,,3.4898760650658005,4.0,momentum_breakout_fixed_bars_exit,next_open
C,SELL,112.24000000000001,8.87154009936125,2026-03-23 14:30:00+00:00,,-4.278339247693225,4.0,momentum_breakout_fixed_bars_exit,next_open
C,BUY,113.27,8.828462964597863,2026-03-24 15:00:00+00:00,,,,,
C,SELL,114.34,8.828462964597863,2026-03-24 15:45:00+00:00,,9.426455372119676,4.0,momentum_breakout_fixed_bars_exit,next_open
AMD,BUY,216.48000000000002,4.619364375461936,2026-03-25 13:45:00+00:00,,,,,
AMD,SELL,219.38,4.619364375461936,2026-03-25 14:30:00+00:00,,13.376156688839615,4.0,momentum_breakout_fixed_bars_exit,next_open
AMD,BUY,220.245,4.540398192921519,2026-03-25 17:45:00+00:00,,,,,
AMD,SELL,221.035,4.540398192921519,2026-03-25 18:30:00+00:00,,3.5669145724079954,4.0,momentum_breakout_fixed_bars_exit,next_open
C,BUY,113.58,8.804366966015143,2026-03-31 19:00:00+00:00,,,,,
C,SELL,113.24000000000001,8.804366966015143,2026-03-31 19:45:00+00:00,,-3.013484768445096,4.0,momentum_breakout_fixed_bars_exit,next_open
C,BUY,115.39999999999999,8.665511265164646,2026-04-01 13:45:00+00:00,,,,,
JPM,BUY,297.345,3.3630967394777107,2026-04-01 13:45:00+00:00,,,,,
HON,BUY,227.93,4.387311894002544,2026-04-01 13:45:00+00:00,,,,,
JPM,SELL,294.45,3.3630967394777107,2026-04-01 14:30:00+00:00,,-9.756165060788135,4.0,momentum_breakout_fixed_bars_exit,next_open
HON,SELL,228.53,4.387311894002544,2026-04-01 14:30:00+00:00,,2.6123871364014803,4.0,momentum_breakout_fixed_bars_exit,next_open
C,SELL,114.83500000000001,8.665511265164646,2026-04-01 14:30:00+00:00,,-4.916013864817728,4.0,momentum_breakout_fixed_bars_exit,next_open
AMD,BUY,211.99,4.717203641681211,2026-04-01 15:00:00+00:00,,,,,
AMD,SELL,212.29999999999998,4.717203641681211,2026-04-01 15:45:00+00:00,,1.44233312892095,4.0,momentum_breakout_fixed_bars_exit,next_open
AMD,BUY,214.19500000000002,4.668643058894932,2026-04-02 15:15:00+00:00,,,,,
AMD,SELL,214.04999999999998,4.668643058894932,2026-04-02 16:00:00+00:00,,-0.6969532435398378,4.0,momentum_breakout_fixed_bars_exit,next_open
