symbol,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
AMD,1,2,-0.3380274301485778,-0.3380274301485778,0.0,-0.38448425784433765,-0.38448425784433765,0.0
AMD,2,2,-0.7640171402234404,-0.7640171402234404,0.0,-0.8103782218199114,-0.8103782218199114,0.0
AMD,4,2,-0.7834274884026063,-0.7834274884026063,0.0,-0.8297962700699544,-0.8297962700699544,0.0
AMD,8,2,-0.6042877411545543,-0.6042877411545543,50.0,-0.6507065188645982,-0.6507065188645982,50.0
C,1,1,-0.42650353265552693,-0.42650353265552693,0.0,-0.514445095168378,-0.514445095168378,0.0
C,2,1,-0.3144925038773127,-0.3144925038773127,0.0,-0.4024823012660477,-0.4024823012660477,0.0
C,4,1,-0.5471307944166854,-0.5471307944166854,0.0,-0.6350204116785789,-0.6350204116785789,0.0
C,8,1,-0.4437359986214032,-0.4437359986214032,0.0,-0.5316701403841193,-0.5316701403841193,0.0
JPM,1,1,-0.5757291991814825,-0.5757291991814825,0.0,-0.6123058464525911,-0.6123058464525911,0.0
JPM,2,1,-0.5479832136787653,-0.5479832136787653,0.0,-0.584564671613839,-0.584564671613839,0.0
JPM,4,1,-0.09364270107168239,-0.09364270107168239,0.0,-0.1303029336292411,-0.1303029336292411,0.0
JPM,8,1,-0.30173759234210956,-0.30173759234210956,0.0,-0.33836174491990506,-0.33836174491990506,0.0
