regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades,symbol_strategy_mode,symbol_contribution_pct
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,portfolio,COMBINED,65.98186819907153,0.6598186819906551,5.17979939104665,54.51127819548872,18.889851721792407,-22.091294474882872,0.24805213608673507,-105.33787027952326,0.024805213608673504,0.024805213608673504,1.0246841440858112,0.23106680061803006,4.290322580645161,42.97343844430981,532,,
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AAPL,59.85725885931072,6.5842984745241795,4.758829752539633,69.23076923076923,13.742499153865273,-15.956308381369183,4.604404527639286,-21.607823398288588,0.4604404527639286,0.4604404527639286,1.9378306283112596,1.4029425420526949,0.20967741935483872,5.5667046822601485,26,breakout,90.71773881684818
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AMD,162.91431185946306,17.920574304540935,16.481719612460157,57.692307692307686,33.86703410387926,-31.371927245338714,6.26593507151781,-69.85690828055374,0.626593507151781,0.626593507151781,1.4720906009822672,1.407705840856938,0.41935483870967744,16.18444679384671,52,breakout,246.90769798748366
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AMZN,29.79168796379679,3.2770856760176463,7.422286555001739,60.71428571428571,14.373602229485796,-19.505413630678337,1.0639888558498853,-44.279592683039255,0.10639888558498854,0.10639888558498854,1.1388504402273414,0.5376442051514159,0.45161290322580644,8.21378900019723,56,breakout,45.15132532154645
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,GOOGL,61.90982358792223,6.8100805946714456,9.06412742635244,54.166666666666664,21.648855440841736,-19.95684519482003,2.579575982830093,-37.74658573596355,0.2579575982830093,0.2579575982830093,1.2820168080564678,0.7810032949896415,0.3870967741935484,11.398193660385205,48,breakout,93.82853998788929
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,JPM,-59.96986455584704,-6.596685101143174,9.70387570948339,52.94117647058824,13.988711985718371,-23.233534053414047,-3.527639091520414,-47.8993499142922,-0.3527639091520414,-0.3527639091520414,0.6773528705427685,-0.9923307454255849,0.27419354838709675,7.135601875188515,34,breakout,-90.88840039344463
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,KO,-14.234090614515367,-1.5657499675966902,8.020053414639333,45.83333333333333,11.335359122195666,-10.68638776605136,-0.5930871089381403,-19.855719683957545,-0.05930871089381402,-0.05930871089381402,0.8975397420306234,-0.28540116497176543,0.3870967741935484,5.651577944249855,48,breakout,-21.57273051373781
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,META,88.0416190908013,9.684578099988132,7.137213195186226,47.82608695652174,28.538341748879724,-18.82334501223964,3.8278964822087524,-33.76565866453211,0.38278964822087524,0.38278964822087524,1.3897714028048387,0.957091045865104,0.3709677419354839,12.85802307409921,46,breakout,133.43304985723364
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,MSFT,-58.088408415530694,-6.389724925708376,15.071894385405438,55.55555555555556,14.804255150621213,-25.766369990217854,-3.2271338008628163,-105.33787027952326,-0.32271338008628164,-0.32271338008628164,0.7181965851341117,-0.6102468485628733,0.2903225806451613,11.199572902586747,36,breakout,-88.03692590254377
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,NVDA,-18.69983035416658,-2.0569813389583236,13.944540163913441,46.42857142857143,23.959034463851683,-22.011151892282562,-0.6678510840773778,-39.078394588739,-0.06678510840773778,-0.06678510840773778,0.9433625571689624,-0.12090158195279589,0.45161290322580644,11.684843499999197,56,breakout,-28.340862216492557
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,TSLA,-279.33404829027506,-30.726745311930255,33.76695840641497,45.45454545454545,18.189028024594254,-30.67608159217716,-8.464668130008334,-56.780128794848224,-0.8464668130008336,-0.8464668130008336,0.494115368297036,-2.5918914897260987,0.532258064516129,13.1017081454637,66,breakout,-423.3497109349895
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,XOM,93.79340906811217,10.317274997492339,8.721321081849254,68.75,12.940890896646776,-19.090619065811687,2.9310440333785053,-32.578919906078795,0.2931044033378505,0.2931044033378505,1.4913062732265268,1.622382968346504,0.5161290322580645,7.999642073177842,64,breakout,142.150277990207
