regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades,symbol_strategy_mode,symbol_contribution_pct
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,portfolio,COMBINED,300.97004440877447,3.0097004440876662,6.0287963972995255,56.02716468590832,17.671904526835863,-21.354279727594832,0.5109847952610772,-105.33787027952326,0.051098479526107715,0.051098479526107715,1.054417499364642,0.6645993597261932,9.5,62.993824284180334,1178,,
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AAPL,98.96593838656042,10.88625322252166,5.492124505090022,63.41463414634146,12.790009910724477,-15.57162128615173,2.4138033752819616,-23.228599847873284,0.24138033752819618,0.24138033752819618,1.423702137659759,1.499139463309258,0.6612903225806451,8.79936144802147,82,breakout,32.88232175430253
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AMD,150.63770350928382,16.570147386021194,31.839970725228795,51.02040816326531,35.66676904750972,-30.8763134449358,3.074238847128241,-69.85690828055374,0.3074238847128241,0.3074238847128241,1.2032811005998822,0.9648386992626324,0.7903225806451613,23.95955609055231,98,breakout,50.05072973464735
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,AMZN,38.06733120394097,4.187406432433506,11.264669327940076,58.620689655172406,15.53438553238636,-20.420907370716467,0.6563332966196719,-44.279592683039255,0.06563332966196718,0.06563332966196718,1.0776722978744189,0.49515549758993543,0.9354838709677419,12.668811273431057,116,breakout,12.648212641467502
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,GOOGL,268.2840450613969,29.511244956753675,12.184792748942769,60.0,20.44041441752767,-18.465892305318917,4.877891728389034,-37.74658573596355,0.48778917283890344,0.48778917283890344,1.6603920958349798,2.313621662041851,0.8870967741935484,16.234182247573433,110,breakout,89.139783192847
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,JPM,-55.07491413056823,-6.058240554362506,17.216955766851857,59.25925925925925,13.428866757614404,-22.03630228973769,-1.019905817232745,-53.08130932788049,-0.1019905817232745,-0.1019905817232745,0.8863963130094228,-0.5158271429824764,0.8709677419354839,11.580018214599045,108,breakout,-18.29913479886591
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,KO,63.32006919962714,6.965207611958986,7.077275696506328,60.37735849056604,10.261191401276115,-12.620859792438502,1.1947182867854178,-24.179620034542268,0.11947182867854177,0.11947182867854177,1.2389093484950169,1.058585720190196,0.8548387096774194,8.18758370615059,106,breakout,21.038661612989785
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,META,-11.194957375991976,-1.2314453113591173,14.316494539117217,48.148148148148145,22.18196875724624,-20.997362323728364,-0.20731402548133288,-40.38092699146193,-0.020731402548133288,-0.020731402548133288,0.9809585651701783,0.05333941317010259,0.8709677419354839,16.249128622037347,108,breakout,-3.7196251201621573
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,MSFT,-153.28644146815384,-16.861508561496922,25.23476146924582,52.083333333333336,12.85797560959662,-20.64068833513345,-3.1934675305865383,-105.33787027952326,-0.31934675305865384,-0.31934675305865384,0.6771121300942484,-1.4037468433908802,0.7741935483870968,13.695287952678486,96,breakout,-50.930796707449645
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,NVDA,-16.524992342238193,-1.8177491576462135,17.379279742317966,50.877192982456144,21.811614173395075,-23.18077869181055,-0.289912146355056,-58.01618547681528,-0.028991214635505604,-0.028991214635505604,0.9745401866872755,-0.015543969896809078,0.9193548387096774,15.580372249132116,114,breakout,-5.490577102016876
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,TSLA,-270.81563888338474,-29.78972027717232,33.55994207162905,47.368421052631575,21.330850065932648,-28.224953022118875,-4.751151559357627,-56.780128794848224,-0.47511515593576265,-0.47511515593576265,0.6801699561481923,-1.9633152487474337,0.9193548387096774,16.87929737565901,114,breakout,-89.98092797420253
Custom,,,breakout,full_day,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,sma,0.0,symbol,XOM,188.59190124830218,20.74510913731324,8.527164064347335,65.07936507936508,13.172781080201311,-15.976914683634163,2.9935222420365424,-32.578919906078795,0.29935222420365426,0.29935222420365426,1.536546593469084,2.239617799557089,1.0161290322580645,10.942821977912365,126,breakout,62.661352766442945
