regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades,symbol_strategy_mode,symbol_contribution_pct
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,portfolio,COMBINED,104.12462042638208,1.0412462042639163,5.926624032431881,76.67364016736403,7.346894903186942,-23.6822840520612,0.10891696697320301,-92.485549132948,0.010891696697320302,0.010891696697320302,1.0197162802359254,0.25506059786753227,15.419354838709678,65.7784883777626,1912,,
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,AAPL,22.2438648214345,2.446825130357795,8.89069598175611,83.11688311688312,5.010492477227057,-22.95597336316132,0.28888136131733116,-29.039350974296553,0.028888136131733116,0.028888136131733116,1.074536875333353,0.408602405282568,1.2419354838709677,8.831297685330567,154,mean_reversion,21.362733165650578
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,AMD,180.0747718943784,19.808224908381572,15.680971092194776,68.96551724137932,13.362761519130379,-24.69294860100144,1.5523687232274,-51.847089081131685,0.15523687232273997,0.15523687232273997,1.20257106908906,1.2384750036245706,1.8709677419354838,19.993694318465998,232,mean_reversion,172.94158783675414
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,AMZN,-121.52969942977563,-13.368266937275319,33.21192913237776,74.15730337078652,7.321789016463836,-26.29425106592995,-1.3655022407839958,-92.485549132948,-0.1365502240783996,-0.1365502240783996,0.7990473293208148,-1.0085115682429757,1.435483870967742,12.624654274941683,178,mean_reversion,-116.71562300263005
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,GOOGL,179.94799797457415,19.794279777203155,6.642258016405167,82.35294117647058,7.5859319194339765,-23.404482425720282,2.1170352702891075,-36.76317433867939,0.21170352702891077,0.21170352702891077,1.5125741719082577,2.080202602748131,1.3709677419354838,11.535335251571116,170,mean_reversion,172.81983572924574
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,JPM,89.7848511499866,9.876333626498488,12.790214754063076,80.0,7.375919223165084,-23.892123695786175,1.1223106393748323,-36.56313301823093,0.11223106393748325,0.11223106393748325,1.234870422919494,1.212484493526209,1.2903225806451613,10.705225153695611,160,mean_reversion,86.22826261678048
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,KO,-17.551663555910636,-1.9306829911501697,7.6859309985539985,86.76470588235294,2.934615328391553,-21.18821865900136,-0.258112699351627,-23.50903241771823,-0.025811269935162702,-0.025811269935162702,0.9079589997190665,-0.33311889481224044,1.096774193548387,5.790843587313119,136,mean_reversion,-16.856400997226174
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,META,-177.4420714106841,-19.51862785517525,28.389883428731306,72.44897959183673,6.5905089468951,-23.9025261718606,-1.8106333817416744,-32.51627323939397,-0.18106333817416745,-0.18106333817416745,0.7250529704051565,-1.8416186362083553,1.5806451612903225,12.08644124423006,196,mean_reversion,-170.41317479388914
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,MSFT,-72.58205663128922,-7.984026229441814,16.68615520237777,76.92307692307693,5.344232402252394,-21.846444487024048,-0.930539187580631,-30.493901219756026,-0.0930539187580631,-0.0930539187580631,0.8154236730873474,-0.8545904075999419,1.2580645161290323,9.801598564469932,156,mean_reversion,-69.7069111359748
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,NVDA,-30.386924137903634,-3.3425616551693995,18.55487070356309,71.08433734939759,9.306856086393903,-24.145476384797664,-0.3661075197337787,-37.53907583996647,-0.03661075197337787,-0.03661075197337787,0.9475627724671241,-0.15617265217273119,1.3387096774193548,14.05054732107836,166,mean_reversion,-29.183226804065725
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,TSLA,-200.32652075883493,-22.035917283471843,26.256383725493638,65.65656565656566,8.72420103614396,-22.570576120829188,-2.0235002096852015,-29.463839832932422,-0.20235002096852012,-0.20235002096852012,0.7389540939777104,-1.5749455915687376,1.596774193548387,15.022982202120906,198,mean_reversion,-192.39111743074182
Custom,,,mean_reversion,morning_only,False,static_pct,20,0.001,1.0,0.0,none,target_1x_stop_low,0.5,midpoint,0.0,symbol,XOM,251.8920705104066,27.70812775614485,5.029469475312346,90.36144578313254,5.7515923206282,-22.43466919208855,3.034844223016947,-26.709272880742787,0.3034844223016947,0.3034844223016947,2.4034755112370614,3.5400401261481993,1.3387096774193548,9.517240381844983,166,mean_reversion,241.9140348160968
