symbol,winner_metric,metric_value,sma_bars,time_window_mode,threshold_mode,threshold_value,threshold_label,trades_per_day,win_rate,profit_factor,realized_pnl,sharpe_ratio,max_drawdown_pct,expectancy,max_loss_trade,avg_winning_trade,avg_losing_trade,avg_return_per_trade_pct,avg_move_captured_pct,pnl_stability,atr_percentile_threshold,regime_filter_enabled,regime,start_date,end_date,config_key
ABBV,net_pnl,45.44747915197672,25,full_day,static_pct,0.001,0.0010,1.1,81.81818181818183,3.9762109701539137,45.44747915197672,4.108379825888115,5.31755784731167,4.131589013816066,-15.009597125023788,6.746414110727351,-7.63512392228472,0.4131589013816066,0.4131589013816066,9.195410734826618,0.0,False,Custom,,,"(25, 'full_day', 'static_pct', 0.001, 0.0, False)"
ABBV,sharpe,4.219837942563548,25,full_day,static_pct,0.001,0.0010,1.4,64.28571428571429,2.226946092463665,39.80858873506554,4.219837942563548,5.123129471120937,2.843470623933253,-16.94831473425404,8.028205755427734,-6.489052612756813,0.2843470623933253,0.2843470623933253,7.860823592692284,0.0,False,Custom,,,"(25, 'full_day', 'static_pct', 0.001, 0.0, False)"
ABBV,max_drawdown,4.693039076320871,25,full_day,static_pct,0.0025,0.0025,1.2,58.333333333333336,1.4312210724426397,13.574559851812978,1.719213131252239,4.693039076320871,1.1312133209844148,-16.715833136262745,6.436273096037358,-6.295870364089706,0.11312133209844148,0.11312133209844148,6.706441742173179,0.0,False,Custom,,,"(25, 'full_day', 'static_pct', 0.0025, 0.0, False)"
AMD,net_pnl,164.51989489898915,15,full_day,static_pct,0.0015,0.0015,1.1,100.0,inf,164.51989489898915,5.219878453981987,15.432306015360478,14.956354081726287,0.5913568525910478,14.956354081726287,0.0,1.4956354081726286,1.4956354081726286,24.95527770322947,0.0,False,Custom,,,"(15, 'full_day', 'static_pct', 0.0015, 0.0, False)"
AMD,sharpe,13.886311225452427,20,full_day,static_pct,0.0025,0.0025,1.7,100.0,inf,135.87852404414832,13.886311225452427,5.894066470830886,7.992854355538136,1.2562615354407853,7.992854355538136,0.0,0.7992854355538136,0.7992854355538136,7.496195368358046,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.0025, 0.0, False)"
AMD,max_drawdown,2.026039877300616,30,full_day,static_pct,0.001,0.0010,0.5,100.0,inf,72.56429964681138,5.1115552958800485,2.026039877300616,14.512859929362275,1.1997521148927035,14.512859929362275,0.0,1.4512859929362276,1.4512859929362276,11.234534568436954,0.0,False,Custom,,,"(30, 'full_day', 'static_pct', 0.001, 0.0, False)"
BAC,net_pnl,48.65492342798689,10,full_day,static_pct,0.002,0.0020,1.6,68.75,2.3927089606339402,48.65492342798689,4.699026673267699,3.6853532322228855,3.0409327142491804,-12.61654284663473,7.599125455609851,-6.987091316744295,0.30409327142491804,0.30409327142491804,8.437544747002226,0.0,False,Custom,,,"(10, 'full_day', 'static_pct', 0.002, 0.0, False)"
BAC,sharpe,5.427950422825654,15,full_day,static_pct,0.001,0.0010,1.5,73.33333333333333,3.610425006252592,39.2821811024487,5.427950422825654,2.8123956807019894,2.61881207349658,-6.385900913368346,4.939124980962458,-3.7620484220345816,0.26188120734965803,0.26188120734965803,5.717237249090467,0.0,False,Custom,,,"(15, 'full_day', 'static_pct', 0.001, 0.0, False)"
BAC,max_drawdown,1.3464448624137049,15,morning_only,static_pct,0.003,0.0030,0.4,75.0,5.126667111070705,27.726907475952544,3.839749980939429,1.3464448624137049,6.931726868988136,-6.718959084819062,11.481955520257202,-6.718959084819062,0.6931726868988136,0.6931726868988136,5.741682631705345,0.0,False,Custom,,,"(15, 'morning_only', 'static_pct', 0.003, 0.0, False)"
C,net_pnl,123.57245058474984,20,full_day,static_pct,0.001,0.0010,2.3,95.65217391304348,56.92346647395641,123.57245058474984,4.968637359569632,9.364025954002312,5.372715242815211,-2.209670794322051,5.717369153594177,-2.209670794322051,0.537271524281521,0.537271524281521,19.4050314879419,0.0,False,Custom,,,"(20, 'full_day', 'static_pct', 0.001, 0.0, False)"
